"rolname","rolsuper","rolinherit","rolcreaterole","rolcreatedb","rolcanlogin","rolreplication","rolconnlimit","rolpassword","rolvaliduntil","rolbypassrls","rolconfig","oid"
"pg_database_owner",False,True,False,False,False,False,-1,"********",NULL,False,NULL,6171
"pg_read_all_data",False,True,False,False,False,False,-1,"********",NULL,False,NULL,6181
"pg_write_all_data",False,True,False,False,False,False,-1,"********",NULL,False,NULL,6182
"pg_monitor",False,True,False,False,False,False,-1,"********",NULL,False,NULL,3373
"pg_read_all_settings",False,True,False,False,False,False,-1,"********",NULL,False,NULL,3374
"pg_read_all_stats",False,True,False,False,False,False,-1,"********",NULL,False,NULL,3375
"pg_stat_scan_tables",False,True,False,False,False,False,-1,"********",NULL,False,NULL,3377
"pg_read_server_files",False,True,False,False,False,False,-1,"********",NULL,False,NULL,4569
"pg_write_server_files",False,True,False,False,False,False,-1,"********",NULL,False,NULL,4570
"pg_execute_server_program",False,True,False,False,False,False,-1,"********",NULL,False,NULL,4571
"pg_signal_backend",False,True,False,False,False,False,-1,"********",NULL,False,NULL,4200
"pg_checkpoint",False,True,False,False,False,False,-1,"********",NULL,False,NULL,4544
"pg_maintain",False,True,False,False,False,False,-1,"********",NULL,False,NULL,6337
"pg_use_reserved_connections",False,True,False,False,False,False,-1,"********",NULL,False,NULL,4550
"pg_create_subscription",False,True,False,False,False,False,-1,"********",NULL,False,NULL,6304
"dashboard_user",False,True,True,True,False,True,-1,"********",NULL,False,NULL,16601
"authenticated",False,True,False,False,False,False,-1,"********",NULL,False,"{statement_timeout=8s}",16481
"anon",False,True,False,False,False,False,-1,"********",NULL,False,"{statement_timeout=3s}",16480
"service_role",False,True,False,False,False,False,-1,"********",NULL,True,NULL,16482
"supabase_admin",True,True,True,True,True,True,-1,"********",NULL,True,"{""search_path=\""$user\"", public, auth, extensions"",log_statement=none}",10
"postgres",False,True,True,True,True,True,-1,"********",NULL,True,"{""search_path=\""\\$user\"", public, extensions""}",16384
"authenticator",False,False,False,False,True,False,-1,"********",NULL,False,"{session_preload_libraries=safeupdate,statement_timeout=8s,lock_timeout=8s}",16483
"supabase_auth_admin",False,False,True,False,True,False,-1,"********",NULL,False,"{search_path=auth,idle_in_transaction_session_timeout=60000,log_statement=none}",16541
"supabase_storage_admin",False,False,True,False,True,False,-1,"********",NULL,False,"{search_path=storage,log_statement=none}",16596
"supabase_replication_admin",False,True,False,False,True,True,-1,"********",NULL,False,NULL,16427
"supabase_etl_admin",False,True,False,False,True,True,-1,"********",NULL,False,NULL,16428
"supabase_read_only_user",False,True,False,False,True,False,-1,"********",NULL,True,"{default_transaction_read_only=on}",16430
"pgbouncer",False,True,False,False,True,False,-1,"********",NULL,False,NULL,16385
"supabase_realtime_admin",False,False,False,False,False,False,-1,"********",NULL,False,NULL,17449
